description,from_file,full_text,full_text_length,keyword,link,remove_reason,source,title
,community,"""마짱!""
달리느라 가빠진 숨을 고르며, 병실의 문을 연다. 병상에는 환자복을 입고 있는 나의 담당 애스턴 마짱이 있다.
멍하니 창밖을 보던 그녀가 내 쪽을 돌아본다.
""아...""
""다행...다행이다...""
교통사고가 있었다는 말을 들었을 때는 심장이 철렁이는 기분에, 입원했다는 병원 이름을 듣자말자 차를 몰아 달려왔다.
환자복을 입은 모습에 다시금 등골이 서늘해지는 느낌을 받았지만 다행이 그녀는 겉으로 보이는 상처나, 깁스 등은 보이지 않았다.
""아, 아니지. 교통사고는 겉으로 보이지 않는 부상이나 후유증이 남을 수도 있으니까. 확실하게 검사를 받자.""
""그렇네요...""
""그래도 크게 다치지 않은건 다행이야. 정말로, 정말로 걱정했어.""
""네...""
그렇게 대답하는 마짱의 표정이 좋지 않았다.
어째서인지 석연치않은, 어딘가 안절부절한 모습.
""괜찮아? 혹시 어디 아픈 곳이라도 있어?""
""아뇨. 괜찬아요. 단지, 그....""
마짱은 조금 불안하게 눈동자를 움직이다가, 말했다.
""당신은...의사 선생님인가요?""
* * *
""CT도 MRI도 찍어봤지만 특별한 이상은 없었습니다.""
의사 선생님의 말씀으론 약간의 찰과상 정도가 전부. 사고의 규모가 작지는 않았지만 우마무스메 특유의 튼튼함으로 큰 부상은 피했다고 한다.
뇌진탕이나 내출혈 등 보이지 않는 위험에 대한 검사도 진행하였지만, 방금 말한대로 특별한 이상은 없었다.
""하지만...""
""아마도 심인성...사고 당시 충격에 의한 일시적인 기억장애로 판단됩니다.""
사고 현장에 대해 자세히는 듣지 못했지만, 다른 피해자들 중에는 상당한 중상도 있었다고 한다.
마짱도 실려올 당시에는 의식을 잃었다고 하니, 그저 튼튼한 것 뿐만 아니라 엄청난 행운으로 부상을 피했다고 하는게 맞을 것이다.
그러나 그 행운의 댓가...라고 하는건 어폐가 있겠지만
마짱은 상당한 기간의 기억을 잃었다. 대략 요 몇년, 구체적으론 트레센에 입학한 후의 기억 대부분을.
물론 내가 그녀를 처음 만나고, 스카웃해서, 함께 달려온 시간들도 포함해서.
그 뒤로도 의사 선생님이 여러가지를 설명해주셨지만, 내용을 간략히 요약하자면
안정을 취하고 기억이 돌아오기를 기다리라는 것이었다. (만화처럼 충격을 준다던가 해선 안되는 경고도 하였다. 당연히 할 생각 없었다만)
조금 늦게, 연락을 받은 마짱의 어머님이 도착하였다. 나는 죄송하다는 말밖에 할 수 없었다.
그녀는 나를 질책하거나 하지는 않았다. 오히려 자기보다 먼저 병원에 찾아와 준 것에 감사하다는 소리를 들어버렸다.
....상냥함이 조금 괴로웠다.
마짱의 어머님은 담당의와 조금 더 이야기할 것이 있다고 하셨기에 나는 홀로 병실로 돌아왔다. 마짱네 어머님은 의사라 들었는데, 아마 그와 관련된 것이 아닐까 추측하였다.
병실문을 노크하고 열자, 마짱이 핸드폰을 바라보다가 시선을 돌린다.
""그게...음~ 트레이너 씨, 인거죠?""
""...응. 맞아.""
""아까는 실례했습니다.""
알고 있는 그 아이의 표정이 맞는데도, 조금 다른, 거리감이 있는 모습에 조금 가슴이 아파온다.
""괜찮아. 그보다 마짱은 어때? 뭐하고 있었어?""
""마짱은 조금 자아 탐색을 하고 있었답니다~""
그러면서 그녀는 핸드폰 화면을 보여준다. 화면에는 애스턴 마짱의 우승 기사를 스크랩한 블로그의 글. 얼마 전의 스프린터즈S에 관한 것이었다.
""이건...""
""마짱은 마짱의 이름을 검색해보았답니다. 에고서치랍니다?""
""말 그대로의 자아탐색이었구나.""
""그러다가 이 기사를 찾아냈답니다. 놀랍게도 마짱은 G1 경기에서 우승한 것 같습니다?""
""의문문으로 말해도 말이지...정말로 우승했으니까.""
""거기다가 이 블로그, 마짱의 기사에 4컷만화도 잔뜩이네요. 팬 분인걸까요?""
""....응. 분명 그럴꺼야.""
""마짱의 팬...인 거군요.""
그녀는 스마트폰의 화면을 뚫어져라 바라보고 있다. 그 눈빛에는 놀라움이 서려있다.
마짱은 어린시절부터 잊혀지지 않는 것을 바래왔다고 한다.
그렇기에 마스코트가 되고자 했고, 그 중에서 레이스의 길을 선택했다. 단순히 레이스에서 이기는 것을 넘어, 모두에게 기억되는 레이스를 하는 길을.
나는 그런 그녀를 돕기 위해 트레이닝 외에도 여러방면으로 지원하였다. 가령 홍보물을 만들거나, 인형탈을 만들거나,
그녀의 일상을 담은 4컷만화를 블로그에 올린다던가...
....마짱은 처음 본다는 표정으로 흥미진진하게 그 블로그를 탐방하고 있었다.
""신기한 기분이네요.""
""신기한?""
""저는 분명 어제까지 어떡하면 온 세상에 마짱을 기억시킬까를 고민했는데, 눈을 떴더니 모두 이루어진 기분입니다. 시간 여행을 한 걸까요?""
그녀의 기억은 트레센 입학 전까지로 되돌아가 있다고 한다. 그 때와 비교해서 클래식의 끝자락에 있는 지금을 비교하면, 마짱을 기억해주는 사람들은 어마어마하게 늘어났으리라. 그녀는 확실히 미래에 온 기분일 것이다.
""응. 마짱은 열심히 달렸고, 그 성과로 많은 분들이 성원을 보내주고 있어.""
""그렇군요....그럼 1가정 1마짱 인형은 성공한 걸까요!?""
""열심히 나눠주곤 있지만 아직 거기까진 힘들지 않을까?""
""그런가요. 아쉽네요.""
""그보다 그 계획 굉장히 오래전부터 구상했었구나...""
그로부터 마짱은 블로그의 글들을 빠르게 되짚어가기 시작했다. 달려왔던 경기들, 단거리로의 노선 변경, 함께 뛰었던 라이벌들...
""아, 그리고 이런 것도 있어.""
나는 스마트폰의 방송용 어플리케이션을 연다. 마짱이 일상 기록을 남기거나, 팬들과 소통할 때 사용하는 것이다. 나도 당연히 팔로우 하고 있다.
물론 지금 당장 방송을 켜는 것은 아니고, 이전의 방송 기록을 보여주었다.
""이건...마짱인가요?""
""맞아. 대회의 전후라던가, 이벤트 참여 때에 직접 소통하곤 했었어.""
""글자랑 이모지가 어마어마한 속도로 올라가고 있어요.""
""많은 분들이 와주셨으니까. 여기 숫자 보이지? 그 때의 최고 시청자수야.""
""엄청난 숫자...! 마짱은 월드 클래스가 된 걸까요?!""
""아직 거기까진 아니지만.""
""그런가요. 아쉽네요.""
아쉽다며 말하지만 마짱의 눈은 반짝반짝 빛나고 있었다. 화면 속에는 웃으면서 팬들과 소통하고 있는 '애스턴 마짱'의 모습이 비춰진다.
막연한 우승 기사보",17227,부업 성공 후기,https://gall.dcinside.com/mgallery/board/view/?id=umamusme&no=1641280,부업 키워드 부족 (2/5),dc,[괴문서] 너가 먼저 잊어버리면 어떡하냐고zzzz
,community,"월 100만원정도 나오는 부업이면 꿀임?
모바일에서 작성
ㅇㅇ
(119.200)
2026.04.27 21:06:54
스크랩
조회 199
추천 0
댓글 0
방송인들 부업 느낌으로 100만원 버는애들 꽤잇던데
추천검색
추천 비추천
0
0
개념 추천
개념 비추천
0
실베추
공유
스크랩
신고",159,부업 월 100만원,https://gall.dcinside.com/mgallery/board/view/?id=firefighter&no=1380355,부업 키워드 부족 (2/5),dc,월100만원정도 나오는부업이면 꿀임?
,community,"월 100만원정도 나오는 부업이면 꿀임?
모바일에서 작성
ㅇㅇ
(119.200)
2026.04.27 21:06:49
스크랩
조회 163
추천 0
댓글 0
방송인들 부업 느낌으로 100만원 버는애들 꽤잇던데
추천검색
추천 비추천
0
0
개념 추천
개념 비추천
0
실베추
공유
스크랩
신고",159,부업 월 100만원,https://gall.dcinside.com/board/view/?id=policeofficer&no=2127105,부업 키워드 부족 (2/5),dc,월100만원정도 나오는부업이면 꿀임?
,community,"월 100만원정도 나오는 부업이면 꿀임?
모바일에서 작성
ㅇㅇ
(119.200)
2026.04.27 21:06:46
스크랩
조회 65
추천 1
댓글 0
방송인들 부업 느낌으로 100만원 버는애들 꽤잇던데
추천검색
추천 비추천
1
1
개념 추천
개념 비추천
0
실베추
공유
스크랩
신고",158,부업 월 100만원,https://gall.dcinside.com/board/view/?id=comic_new6&no=4075553,부업 키워드 부족 (2/5),dc,월100만원정도 나오는부업이면 꿀임?
,community,"[일반]
월 100만원정도 나오는 부업이면 꿀임?
모바일에서 작성
ㅇㅇ
(119.200)
2026.04.27 21:06:42
스크랩
조회 61
추천 0
댓글 2
방송인들 부업 느낌으로 100만원 버는애들 꽤잇던데
추천검색
추천 비추천
0
0
개념 추천
개념 비추천
1
공유
스크랩
신고",159,부업 월 100만원,https://gall.dcinside.com/mini/board/view/?id=soopsosopbj&no=6467456,부업 키워드 부족 (2/5),dc,월100만원정도 나오는부업이면 꿀임?
,community,"은 주방위군
월 1회 주말 소집으로 30만원
연 1회 2주 동원 훈련있는 달은 +100만원
2주 나가서 100만원은 별로 아니냐 하겠는데
다니는 직장이 제대로 된 곳이면 유급처리까지 해줌
- dc official App",122,부업 월 100만원,https://gall.dcinside.com/mgallery/board/view/?id=singlebungle1472&no=2325783,부업 키워드 부족 (1/5),dc,미국에서월30만원짜리부업
,community,"히키코모리들이
성인이 되었음에도 사회생활 안하고
집에서 게임만 쳐 하다가
용돈 받아쓰기 눈치보여서
본인이 직접 게임재화 팔아서
담배값이나 하던건데
똑똑한 20대들이
실업급여의 헛점을 노려
8개월(실근무180일초과) 일하고
4개월 실업급여(약160만원 시절) 타면서
게임으로 나머지 충당(월 +50~100)
이게 코로나 터지면서
대부분 직장인들이 유급휴직 또는
무급휴직(나라에서 70% 지원) 맞아서
3040도 쌀먹에 합류하게 됨
이 기간이 약 3년 가까이 길어지면서
생계형쌀먹, 쉬었음청년이 늘어남
위드 코로나 이후 적응된 사람들은
5년간 실업급여 최대3회로 제한되면서
매년 반복하던걸 2년마다 할 수 있게되고
최소연봉 직장인이나 알바들도
부업으로 하루 몇시간씩 쌀먹하게 됨
지금은 생계형 쌀먹과 쉬었음 쌀먹때메
극한의 효율을 추구하게 되었고
이를 제외한 일반 쌀먹들은
월 100만원
내외의 부수익이면 만족을 함
즉 쌀먹은 월 50-100만원정도면 충분하다
그래야 생계형 쌀먹이나 쉬었음 청년들이
돈이 부족해서 알바라도 하지
현재 공장에서도 외노자한테 일자리 뺏기고
사이버 세상에서도 외노자한테 일자리 뺏기는게
현실임",569,부업 월 100만원,https://gall.dcinside.com/mgallery/board/view/?id=lineage2classic&no=601915,부업 키워드 부족 (3/5),dc,애초에 쌀먹이 생겨난건
,community,"캐시백먹었음?
아뇨
월 얼마씀?
의류 리셀하는거 부업 삼아 해서 카드 결제 자체는 월 100만원 넘게씩 함
한달 내로 다 팔리다 보니까 지출?이라고는 생각 안하는 편
프카나 마일찾음?
아뇨
세금개많이냄?
아뇨
관리비냄?
ㄴㄴ
주유비얼마?
25만원 + 신한 딥오일 발급받아서 쓰는중
통신사 어디 얼마?
LG알뜰폰 만육천원
갤럭시임?
아이퐁 근데 갤럭시로 갈아탈의향있음
무슨카드있음?
신용카드 신한딥오일
나머지는 체크카드(네이버페이)
해외직구/여행 얼마나자주 얼마씀?
일본 최소 1년에 네다섯번?
여행용 카드는 트래블로그 쓰고, 주로 청주공항(에어로케이)에서 가서 마일리지적립 없음
차 대출 이번달에 끝나서 차량고정비는 보험비+주유비 정도
시골에서 혼자 살아서 주로 인터넷 쇼핑이 메인이고
오프라인 소비는 하나로마트 + 주유소가 전부인것같음
인터넷 간편결제를 많이 하다보니까 탭탭디지털 관심있었는데
생각보다 효율 안좋아서 로카 라잌잇 조금 관심 생겼음
다들 주식 오르세요 빨간창 보세요 감사합니다",499,부업 월 100만원,https://gall.dcinside.com/board/view/?id=creditcard&no=598597,부업 키워드 부족 (4/5),dc,미천한 저에게 정보를 알려주실 신용카드 마스터를 찾습니다
,community,"[일반]
도보로 한달 350개 쳐도 월 100만원이 안되네
앱에서 작성
쿠붕이
(118.235)
2026.04.12 22:19:36
스크랩
조회 227
추천 1
댓글 7
부업인데 오토로 바꾸면 150은 찍으려나
- dc official App
추천검색
추천 비추천
1
0
개념 추천
공유
스크랩
신고",167,부업 월 100만원,https://gall.dcinside.com/mini/board/view/?id=coupangeats&no=566708,부업 키워드 부족 (2/5),dc,도보로 한달 350개 쳐도월100만원이 안되네
,community,"보통 몇마리로 시작해?
지금 운영중인 샵, 테라핀 전문 브리더들 첫 시작부터 10마리 20마리로 시작하진 않았을텐데.
암2 수1로 시작해서 5년 뒤부터 소소하게 용돈벌이 생각하고 들어가면 되는건가...
아주 똥퀄 박리다매로 파는건 그냥 취미 수준일거같은데
걍 똥퀄 5만원에 던진다 생각하고 테라핀 여러마리 키워볼까?
근데 이건 찻집에서도 수요가 없겠지..?
부업으로 월 100만원정도 나오면 진짜 취미 할 맛 나겠는데..",235,부업 월 100만원,https://gall.dcinside.com/board/view/?id=reptile&no=966437,부업 키워드 부족 (2/5),dc,테라핀 지금 들어간다고 가정했을 때 (부업)
